;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
11 de feb de 09;30,1983;29,4072;29,872;;;;;;;;;;;;
12 de feb de 09;30,2776;29,3182;30,2381; 0,96 ;0,00;0,09;;;;;;;;;
13 de feb de 09;30,4458;29,9611;30,0996; 0,48 ;0,17;0,00;;;;;;;;;
17 de feb de 09;29,3478;28,7443;28,9028; 1,36 ;0,00;1,22;;;;;;;;;
18 de feb de 09;29,3477;28,5566;28,9225; 0,79 ;0,00;0,19;;;;;;;;;
19 de feb de 09;29,2886;28,4081;28,4775; 0,88 ;0,00;0,15;;;;;;;;;
20 de feb de 09;28,8334;28,0818;28,5566; 0,75 ;0,00;0,33;;;;;;;;;
23 de feb de 09;28,7346;27,4289;27,5576; 1,31 ;0,00;0,65;;;;;;;;;
24 de feb de 09;28,6654;27,6565;28,4675; 1,11 ;0,00;0,00;;;;;;;;;
25 de feb de 09;28,8532;27,8345;28,2796; 1,02 ;0,19;0,00;;;;;;;;;
26 de feb de 09;28,6356;27,3992;27,4882; 1,24 ;0,00;0,44;;;;;;;;;
27 de feb de 09;27,6761;27,0927;27,231; 0,58 ;0,00;0,31;;;;;;;;;
2 de mar de 09;27,2112;26,1826;26,3507; 1,05 ;0,00;0,91;;;;;;;;;
3 de mar de 09;26,8651;26,1332;26,3309; 0,73 ;0,00;0,05;;;;;;;;;
4 de mar de 09;27,409;26,6277;27,0333; 1,08 ;0,54;0,00;13,33;0,90;4,32;6,75;32,42;25,67;39,17;65,54;
5 de mar de 09;26,9441;26,1332;26,2221; 0,90 ;0,00;0,49;13,28;0,84;4,51;6,29;33,95;27,65;40,24;68,73;
6 de mar de 09;26,5189;25,4307;26,0144; 1,09 ;0,00;0,70;13,42;0,78;4,89;5,78;36,43;30,65;42,21;72,60;
9 de mar de 09;26,5189;25,3518;25,4605; 1,17 ;0,00;0,08;13,63;0,72;4,62;5,29;33,89;28,60;39,17;73,01;
10 de mar de 09;27,0927;25,876;27,0333; 1,63 ;0,57;0,00;14,29;1,24;4,29;8,70;30,02;21,32;38,71;55,06;
11 de mar de 09;27,686;26,964;27,4487; 0,72 ;0,59;0,00;13,99;1,75;3,98;12,49;28,47;15,98;40,96;39,01;
12 de mar de 09;28,4477;27,1421;28,3586; 1,31 ;0,76;0,00;14,30;2,38;3,70;16,68;25,87;9,19;42,55;21,60;
13 de mar de 09;28,5267;28,0123;28,4278; 0,51 ;0,08;0,00;13,79;2,29;3,43;16,63;24,90;8,27;41,53;19,92;
16 de mar de 09;28,6654;27,884;27,953; 0,78 ;0,14;0,00;13,59;2,27;3,19;16,69;23,47;6,78;40,16;16,87;
17 de mar de 09;29,0116;27,9928;29,0116; 1,06 ;0,35;0,00;13,67;2,45;2,96;17,93;21,65;3,72;39,59;9,40;
18 de mar de 09;29,872;28,7643;29,3776; 1,11 ;0,86;0,00;13,80;3,14;2,75;22,73;19,92;2,81;42,64;6,59;
19 de mar de 09;29,8028;29,1402;29,3576; 0,66 ;0,00;0,00;13,48;2,91;2,55;21,61;18,94;2,67;40,55;6,59;
20 de mar de 09;29,7529;28,7127;28,9107; 1,04 ;0,00;0,43;13,56;2,71;2,80;19,95;20,64;0,68;40,59;1,69;
23 de mar de 09;30,6546;28,929;30,6149; 1,74 ;0,90;0,00;14,33;3,41;2,60;23,82;18,13;5,69;41,94;13,57;33,58
24 de mar de 09;30,5951;30,0304;30,0502; 0,58 ;0,00;0,00;13,89;3,17;2,41;22,81;17,36;5,45;40,18;13,57;32,15
25 de mar de 09;30,7635;29,3863;30,189; 1,38 ;0,00;0,64;14,28;2,94;2,88;20,61;20,20;0,41;40,81;1,01;29,93
26 de mar de 09;31,1698;30,1365;31,1202; 1,03 ;0,41;0,00;14,29;3,14;2,68;21,97;18,74;3,23;40,70;7,93;28,36
27 de mar de 09;30,8923;30,4267;30,5356; 0,69 ;0,00;0,00;13,97;2,92;2,49;20,87;17,81;3,07;38,68;7,93;26,90
30 de mar de 09;30,0402;29,3467;29,7827; 1,19 ;0,00;1,08;14,16;2,71;3,39;19,12;23,94;4,82;43,06;11,19;25,78
31 de mar de 09;30,6645;29,9906;30,0402; 0,88 ;0,62;0,00;14,03;3,14;3,15;22,37;22,44;0,07;44,81;0,15;23,95
1 de abr de 09;30,5951;29,5152;30,4861; 1,08 ;0,00;0,48;14,11;2,91;3,40;20,66;24,09;3,43;44,75;7,67;22,78
2 de abr de 09;31,9724;30,9418;31,467; 1,49 ;1,38;0,00;14,58;4,08;3,16;28,00;21,63;6,36;49,63;12,82;22,07
3 de abr de 09;32,1011;31,5364;32,0515; 0,63 ;0,13;0,00;14,18;3,92;2,93;27,65;20,67;6,99;48,32;14,46;21,53
6 de abr de 09;32,0317;31,358;31,9724; 0,69 ;0,00;0,18;13,86;3,64;2,90;26,27;20,92;5,35;47,19;11,33;20,80
