Date;Open;High;Low;Close;H-L;H – C(ayer);C(ayer)-L;Rango verdadero;Primer ATR;ATR
19/09/14;100.46;100.56;99.58;99.98;;;;;;
22/09/14;99.74;99.75;98.62;99.05;1.13;-0.230000000000004;1.36;1.36;;
23/09/14;98.65;99.22;98.58;98.78;0.640000000000001;0.170000000000002;0.469999999999999;0.640000000000001;;
24/09/14;98.88;99.89;98.54;99.84;1.34999999999999;1.11;0.239999999999995;1.34999999999999;;
25/09/14;99.52;99.65;97.7;97.74;1.95;-0.189999999999998;2.14;2.14;;
26/09/14;98.06;98.96;97.89;98.78;1.06999999999999;1.22;-0.150000000000006;1.22;;
29/09/14;97.8;98.92;97.75;98.65;1.17;0.140000000000001;1.03;1.17;;
30/09/14;98.92;99.3;98.32;98.79;0.980000000000004;0.649999999999992;0.330000000000012;0.980000000000004;;
01/10/14;98.51;98.61;96.9;97.21;1.70999999999999;-0.180000000000007;1.89;1.89;;
02/10/14;97.19;97.51;95.97;97.21;1.54000000000001;0.300000000000011;1.24;1.54000000000001;;
03/10/14;97.78;98.57;97.44;98.17;1.13;1.36;-0.230000000000004;1.36;;
06/10/14;98.48;98.72;97.66;97.96;1.06;0.549999999999997;0.510000000000005;1.06;;
07/10/14;97.5;97.78;96.56;96.57;1.22;-0.179999999999993;1.39999999999999;1.39999999999999;;
08/10/14;96.62;98.76;96.06;98.45;2.7;2.19000000000001;0.509999999999991;2.7;;
09/10/14;98.32;98.57;96.71;96.86;1.86;0.11999999999999;1.74000000000001;1.86;1.48;
10/10/14;96.29;96.83;94.42;94.44;2.41;-0.0300000000000011;2.44;2.44;;1.55
13/10/14;94.27;94.99;92.88;92.96;2.11;0.549999999999997;1.56;2.11;;1.59
14/10/14;93.54;94.17;92.71;92.97;1.46000000000001;1.21000000000001;0.25;1.46000000000001;;1.58
15/10/14;91.57;92.76;90.24;92.37;2.52000000000001;-0.209999999999994;2.73;2.73;;1.66
16/10/14;90.42;92.58;90.39;91.79;2.19;0.209999999999994;1.98;2.19;;1.70
17/10/14;93;93.89;92.46;93;1.43000000000001;2.09999999999999;-0.669999999999988;2.09999999999999;;1.73
20/10/14;92.99;94.47;92.8;94.39;1.67;1.47;0.200000000000003;1.67;;1.72
21/10/14;95.56;96.87;95.32;96.87;1.55000000000001;2.48;-0.929999999999993;2.48;;1.78
22/10/14;97.17;97.3;96.31;96.37;0.989999999999995;0.429999999999993;0.560000000000002;0.989999999999995;;1.72
23/10/14;97.34;98.36;97.17;97.82;1.19;1.99;-0.799999999999997;1.99;;1.74
24/10/14;98.03;98.69;97.64;98.62;1.05;0.870000000000005;0.179999999999993;1.05;;1.69
27/10/14;98.43;98.87;98.02;98.69;0.850000000000009;0.25;0.600000000000009;0.850000000000009;;1.63
28/10/14;99.15;100.2;99.08;100.18;1.12;1.51000000000001;-0.390000000000001;1.51000000000001;;1.62
29/10/14;99.85;100.12;99.1;99.81;1.02000000000001;-0.0600000000000023;1.08000000000001;1.08000000000001;;1.58
30/10/14;99.36;100.26;99.14;100.02;1.12;0.450000000000003;0.670000000000002;1.12;;1.55
31/10/14;101.68;101.75;101.07;101.4;0.680000000000007;1.73;-1.05;1.73;;1.56
03/11/14;101.58;101.97;101.43;101.7;0.539999999999992;0.569999999999993;-0.0300000000000011;0.569999999999993;;1.49
04/11/14;101.38;101.62;100.67;101.36;0.950000000000003;-0.0799999999999983;1.03;1.03;;1.46
05/11/14;102.03;102.03;101.02;101.37;1.01000000000001;0.670000000000002;0.340000000000003;1.01000000000001;;1.43
06/11/14;101.36;101.72;100.92;101.69;0.799999999999997;0.349999999999994;0.450000000000003;0.799999999999997;;1.38
07/11/14;101.87;101.91;101.07;101.6;0.840000000000003;0.219999999999999;0.620000000000005;0.840000000000003;;1.34
10/11/14;101.66;102.09;101.38;101.96;0.710000000000008;0.490000000000009;0.219999999999999;0.710000000000008;;1.30
11/11/14;101.98;102.28;101.7;102.28;0.579999999999998;0.320000000000007;0.259999999999991;0.579999999999998;;1.25
